Date	Speakers	Title	Description	YouTube ID	Non-YouTube landing page	Slides landing page	Transcript	Slides download URL	Talk download URL	Start time	End time	Conference landing page	Default image	GitHub username	Training material	Installation	Type	Target audience	Language
2025-06-12	Nada Chaya	DCM2025 Keynote 2: Arab Public Data Initiative with Nada Chaya	Aims to promote the norm and practices of social science research data preservation and sharing among social scientists and humanists and research institutions in the Arab region.	DcOe16ZdnO4		https://osf.io/j4r2e/files/esw8d													
2025-06-12	Multiple speakers	DCM2025 Keynote Panel: Building Together : A Community-Built Data Ecosystem		IVPsEtCPHUU															
2025-06-11	Dataverse Community	DCM2025 Community Update Video	Yearly update from the Dataverse community.	6PPlnFGY_mY															
2025-06-02	Rob Day	DMPTool - RSpace ELN - Dataverse Integration	In this video Rob Day shows how RSpace users can ingest a Data Management Plan (DMP) from DMPTool into their RSpace Gallery so that it can be associated with work performed at the bench (or wherever you perform your research). The finished research records and associated data can then be sent to Dataverse along with metadata that can include Tags / Keywords from industry standard vocabulary sources, as well as the user's ORCID DOI and more. Dataverse generates a Digital Identifier (DOI) for the deposit and RSpace then automatically copies the DOI link and passes it to the original Data Management Plan, adding it to the "Research Outputs" section.	SfEjvWogx5g															
2025-05-29	Balázs Pataki	Dataverse, CEDAR and RO-Crate: The building blocks of ARP	In this demo, Balázs Pataki from HUN-REN SZTAKI, DSD presents a comprehensive overview of the HUN-REN ARP research data repository in Hungary and demonstrates how researchers can enhance dataset metadata using modern tools. You'll learn how ARP extends (forks) Dataverse with advanced metadata authoring capabilities via: CEDAR: for easy, drag-and-drop schema editing and creation; AROMA: a visual RO-Crate editor for detailed, structured file-level metadata; ARP Schema Registry: to manage and customize metadata blocks and templates; ARP Federated Search: a powerful search engine built on a knowledge graph to discover datasets using both Dataverse and RO-Crate metadata	o_ENdITtIQg															
2025-05-06	Brendan Leonard, Robert Christie	Integrated Data Downloads Using Dataverse for the Atlas of Economic Complexity	An example of a custom webpage that presents data stored in Dataverse.		https://harvard.zoom.us/rec/share/ahTcAe94mh7pT0b0u8Hactp2t5AXkD2ei6koYYNn3LItpSVdprKr3lXefHC7sy12.8KbCPfftaLJivonM	https://docs.google.com/presentation/d/14kblFuwooijKNwMajJwGbFSZ3jMM7yrd0qMt3xH09hM/edit?usp=sharing													
2025-04-15	Julian Gautier	Introduction to Metadata in Dataverse Repositories: For Installation Administrators	Learn about how Dataverse helps Dataverse installation administrators customize the dataset metadata form in order to improve how data and code are described, found and used. This webinar will cover how to edit and create metadata blocks, how Dataverse exports metadata, and more.	GgPI9X6Q7sI		https://dataverse.org/presentations/introduction-metadata-dataverse-repositories-installation-administrators		https://dataverse.org/sites/projects.iq.harvard.edu/files/introduction_to_metadata_in_dataverse_repositories_for_installation_administrators.pdf						jggautier	1	dataverse.harvard.edu	tutorial	Curators	
2025-04-08	Slava Tykhonov	Dataverse and Croissant: Metadata for AI and Machine Learning Systems		AUSjdYhjHww		https://docs.google.com/presentation/d/104ZlLGRPhpEWN1KjDamatXY42r1ph7Z3AePZfJ6LKsc/edit?usp=sharing				6472									
2025-04-01	Charity Everett	Dataverse XR-Spatial	Exploring immersive data visualization		https://harvard.zoom.us/rec/share/nQH7ogX65_q0u2KpeGBhMCjb7-Mqs9xKf-n521OrFgaSyQPANkX1nzMdzzqL38Vi.qTvOKbAVxe75TsEw	https://www.canva.com/design/DAGjCyXosTI/AmB34qCXlqyxqNJ3vVafAQ/view?utm_content=DAGjCyXosTI&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=h3fa5ce6a8f								CharityEverett					
2025-03-26	Sonia Barbosa, Leonid Andreev	Large Data Support in Harvard Dataverse	This webinar will highlight our services, which are designed to meet the diverse needs of researchers, institutions, and groups handling large datasets.	IptLotFsjpU		https://dataverse.org/presentations/large-data-support-harvard-dataverse								landreev	1	dataverse.harvard.edu	tutorial	End users	
2025-03-13	Sonia Barbosa, Gustavo Durand	Using Permissions in Dataverse	Learn how to manage permissions in a Dataverse repository to manage deposit workflows and access to your data. This webinar will provide an overview of the permissions framework, helping you understand roles, access levels, and how to customize permission at the collection, dataset, and file levels.	mx6zuOt-C2A		https://dataverse.org/presentations/permissions-dataverse-supported-repository									1	dataverse.harvard.edu	tutorial	End users	
2025-03-04	Paul Boon	During the Dataverse community call, Bikramjit Channa spoke about AI bot traffic at Borealis and other platforms and how he and his colleagues are dealing with it	During the community call, Paul demoed a map he's been working on. We also talking about the upcoming community meeting and Dataverse release (6.6).		https://harvard.zoom.us/rec/share/Ir5CkFHkzoya9b5Nk69rLFUpTyGics3-KGLl9WITSLMy4ezHRsB8CnY22cUNg2g.JPpxrjzHMeCii_zO									PaulBoon					
2025-02-04	Slava Tykhonov	Ask Dataverse and Large Language Models in the RAG framework			https://harvard.zoom.us/rec/share/bOizatNdMdxINRCnqpt87fPITPvsDWTv3ysvA8kIaEE4wnmZPSeSUkdmpKYP1ooA.rKoNMqED_L8KtHOi	https://docs.google.com/presentation/d/1HFN-wAe4eUGwJAhYCLbNcNHAsi-Hy8jQ/edit?usp=sharing&ouid=117275479921759507378&rtpof=true&sd=true								4tikhonov					
2025-01-15	Sonia Barbosa, Katie Mika	Intro to Using the Harvard Dataverse & FAIR, and the NIH DMP Harvard Dataverse Guidance Document	Learn about the Harvard Dataverse Repository for data sharing and preservation.	iZHrHokIhLE		https://dataverse.org/presentations/introduction-using-harvard-dataverse-repository-fair-and-nih-dmp-harvard									1	dataverse.harvard.edu	tutorial	End users	
2025-01-07	Eric Olson	Specialized Metadata in Generalist Repositories: OSF+CEDAR Integration	CEDAR has been integrated into OSF and forked to work with Dataverse.		https://harvard.zoom.us/rec/share/FqJGt8MFrKeXm3gMc6sd-wY461DitZzj66wbulPJ0EtSAzTktqIEz_Gcf2R0B_NY.OP5Lfmw5_I5CumZX	https://doi.org/10.17605/OSF.IO/TQUYV													
2024-12-03	Ozgur Karadeniz	Demo of KU Leuven’s review dashboard	KU Leuven has built an open-source tool to track, simplify, and semi-automate dataset review and curation process: <a href="https://github.com/libis/rdm-review-dashboard">https://github.com/libis/rdm-review-dashboard</a>		https://harvard.zoom.us/rec/share/Q3RN_aFiu91v3Ee9NCXSoWO8-KQU75rF7gF-TMxT35uv_BiOy3HTmkw7Eay-UwWp.eyChCuOik2JtVnMp	https://groups.google.com/g/dataverse-community/c/77JhdV21usw/m/U-C6qzpZAAAJ								okaradeniz					
2024-11-05	Arofan Gregory	DDI-CDI Basics/The CDIF Framework	DDI-CDI and CDIF		https://harvard.zoom.us/rec/share/0wlY3CoPMNHSxgEtIbbFer3J5RRjV4gvLLTlI9-LqFQ6acOpoAxh9zzA-OgkxXlV.wIYIy3W0t8HAp5v6	https://groups.google.com/g/dataverse-community/c/ND3GOziRONU/m/0oYA0iM0BQAJ													
2024-10-17	Jan Range	Resumable downloads with dvcli	This demonstration showcases the new DVCLI feature that enables resumable downloads. By utilizing the Range header, downloads can be paused and resumed at any point, making it particularly beneficial when dealing with large files and experiencing technical interruptions that cause the download to stop. This feature will be available in an upcoming release of DVCLI.		https://drive.google.com/file/d/1toNejVgxCOwgxOZ172sPhUdpASpqOeQ7/view?usp=share_link									JR-1991					
2024-10-01	Ozgur Karadeniz, Dieuwertje Bloemen	Creating a Dataverse RO-Crate exporter with FAIR-IMPACT support	Dataverse Community Meeting 2024 (October 1, 2024)		https://harvard.zoom.us/rec/share/-mvv4qb-aQ2u9cnD8CoN6rd4HQeuzBcRtiJnAyrAwcIFuDzT8PK8XpkUDIx2g3yl.A1TU9w85V0iYmxEM	https://drive.google.com/file/d/1Rs3GX38Pd6AYkmLQVNdisJjiNY09tAdE/view?usp=drive_link													
2024-09-20	Documentation Working Group Kickoff	Kickoff of the Documentation Working Group	This is the first meeting of the <a href="https://www.gdcc.io/working-groups/documentation.html">Documentation Working Group</a>. <a href=https://docs.google.com/document/d/1wUpmkOfQICuPQPbITqJ2oZSD2cSJBdHioEsaLck6_Es/edit?usp=sharing">Agenda/notes</a>. All are welcome!		https://harvard.zoom.us/rec/share/UBmb9Mzd_grPPsbX7jik54BGRMOHoskcVUab434u6FJOiyPE-fPN-AQjcWQmhSQ2.KAUPfDyco5S2aPzM														
2024-09-13	Guillermo Portas	Demo 3 of the new Dataverse frontend	This demo covers the collection page, configuring facets, creating a dataset, and uploading files.		https://drive.google.com/file/d/1JCMEMNWEzdpA_URbuEBPGn-nJZk4J-rl/view?usp=drive_link									GPortas					
