GitHub Username	Primary installation	Zulip ID	Working Groups	Issue
RoHei				
rtreacy	dataverse.harvard.edu	598445		
rwvaldivia				
Saixel		747203		
Sakshi-75				
samusz				
Sathvikaundala				
sbarbosadataverse	dataverse.harvard.edu	707680	large-data-support,sensitive-data	
schorcht-ioer	data.fdz.ioer.de			
scolapasta	dataverse.harvard.edu	690603		
seaneu				
sekmiller	dataverse.harvard.edu	1007626		
sergejzr				
shlake	dataverse.lib.virginia.edu	599826		
shuffle2				
siacus	dataverse.harvard.edu			
sindribaldur	dataverse.rhi.hi.is			
sirineREKIK	entrepot.recherche.data.gouv.fr			
skasberger				
solhm	data.cimmyt.org			
srmanda-cs	dataverse.unc.edu	1034135		
stefanandonov				
stevenferey	entrepot.recherche.data.gouv.fr	919805		
stevenmce	dataverse.ada.edu.au			
stevenwinship	dataverse.harvard.edu	980865		
summitcheung				
super-lou				
superpegaso2703		934432		
synapticrain				
TanayKarve				
tcoupin	dataverse.ird.fr			
tgoelles				
thegaryking	dataverse.harvard.edu			
thiagombrasil				
thisisbillie				
TillJan	data.fz-juelich.de			
tjouneau	dorel.univ-lorraine.fr	665056		
tlchristian	dataverse.unc.edu			
tosunmerve				
transfluxus				
twtw	dataverse.lib.nycu.edu.tw			
univiedev				
vaidap		699717	documentation	
vaidasmo	lida.dataverse.lt	696837		
vbonamy				
Venki18	researchdata.ntu.edu.sg			
vera		616555		
virgilejarrige				
vkush	darus.uni-stuttgart.de			
wendysmann	dataverse.orc.gmu.edu			
WittenbergM	dataverse.nl			
wpavan	dataverse.ifdc.org			
wshahn	dataverse.unc.edu	928397		
wtr-icm				
xiaya2309				
yaof22				
yesilms				
yh-repo				
yikangfengnie				
younnoh	dataverse.yale.edu			
youssefOuahalou	www.sodha.be			
ysuarez		598733		
zbenta	datahub.polen.fccn.pt	662399		
zearaujo25		704283		
zhoulvjun				
zieglerms				
zolttoth				
